File,aid,Date,2058,2061,2062,2066,2070,2111,2112,2116,2120,2181,2185,2189,2253,2257,2261,2318,2322,2325,2326,2330,2367,2372,2376,2380,2441,2445,2449,2513,2514,2517,2521,3094,3098,3102,3154,3354,3358,3362,3550,3554,18445,18446,18449,18450,18453,18454,18457,18458,18495,18705,18709,18713,18717,18751,18913,19482,19486,19490,19494,19742,19754,34834,34841,34842,34892,34957,34961,34965,35029,35094,35098,35101,35102,35106,35152,35217,35221,35225,35289,35293,35294,35297,36130,36134,36262,36326,36330,51221,51225,51229,51233,51263,51481,51485,51489,51493
_250m_16_days_VI_Quality_2018033_aid0001,aid0001,2018-02-02,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,139.0,,695.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,28.0,,,,,,
_250m_16_days_VI_Quality_2018049_aid0001,aid0001,2018-02-18,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.0,,,,,,2.0,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,7.0,,
_250m_16_days_VI_Quality_2018065_aid0001,aid0001,2018-03-06,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,
_250m_16_days_VI_Quality_2018081_aid0001,aid0001,2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.0,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018097_aid0001,aid0001,2018-04-07,,18.0,239.0,216.0,,,,,,,,,,,,,8.0,,50.0,,,,,,,,,,,,,,29.0,124.0,,,39.0,6.0,,,,,38.0,,101.0,,,,,,5.0,18.0,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,6.0,,
_250m_16_days_VI_Quality_2018113_aid0001,aid0001,2018-04-23,,19.0,80.0,16.0,,,,,,,45.0,167.0,,295.0,84.0,,,6.0,,,,,,,,22.0,68.0,,,26.0,12.0,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,10.0,,,,,,6.0,,2.0,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018129_aid0001,aid0001,2018-05-09,,,9.0,6.0,,,,154.0,,,394.0,120.0,,2.0,,,,,,,,,,,,172.0,22.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018145_aid0001,aid0001,2018-05-25,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018161_aid0001,aid0001,2018-06-10,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018177_aid0001,aid0001,2018-06-26,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018193_aid0001,aid0001,2018-07-12,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018209_aid0001,aid0001,2018-07-28,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018225_aid0001,aid0001,2018-08-13,,,,,,,,740.0,,,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018241_aid0001,aid0001,2018-08-29,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018257_aid0001,aid0001,2018-09-14,,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018273_aid0001,aid0001,2018-09-30,,,44.0,6.0,,,,196.0,,,87.0,,,,,,,,,,,,192.0,,,34.0,,,,,,,42.0,18.0,8.0,,,,,18.0,,,73.0,,,,,,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,49.0,,,,,,,,,,12.0,,1.0,,,,,,,,,
_250m_16_days_VI_Quality_2018289_aid0001,aid0001,2018-10-16,,,,,,,,901.0,47.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2018305_aid0001,aid0001,2018-11-01,,,,79.0,105.0,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,11.0,,11.0,,,,186.0,47.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,148.0,,,,,25.0,
_250m_16_days_VI_Quality_2018321_aid0001,aid0001,2018-11-17,,,,24.0,65.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,202.0,6.0,74.0,6.0,,,,184.0,185.0,,6.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,87.0,11.0,,,,76.0,7.0
_250m_16_days_VI_Quality_2018337_aid0001,aid0001,2018-12-03,,,,63.0,81.0,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,418.0,6.0,11.0,6.0,,,,6.0,6.0,,,,,,48.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,
_250m_16_days_VI_Quality_2018353_aid0001,aid0001,2018-12-19,,,,19.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,251.0,51.0,,17.0,,,,55.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.0,10.0,2.0,,,128.0,6.0
